text,label
sumpah malah makin ribet camat tempat makin gampang mana syarat banyak makin cepet mudah tadi ken akses rumah keluar yaudah langsung camat tempat masing masing,0
apk dlm ganggam mudah,1
bagus cepat layan,1
susah masuk simple,1
aplikasi bagus siih cuma lama itu proses baik data tanggal november sampe selesai,0
mantap ngebantu apa buat yg kerja sering keluar kota asal sempat waktu internet semua urus sendiri rasa sia bayar pajak tambah saran pribadi aman basic it sedikit banyak erti baik kendala maksud kurang lihat ulas orang gaptek sulit mungkin user friendly update depan,1
jamin mudah masyarakat bukti pakai fleksibel buang buang waktu tenaga mudah sukses selalu,1
pertama kali buat akta mati lalu salam nov hasil mudah cepat muas keren disdukcapil kota bandung,1
bagus manfaat bantu sekali,1
kelas pemkot bandung dipake ios malu in,0
bantu masyarakat mudah kan urus selalu anggap sulit moga tingkat,1
percuma salam masuk nik pasword salah padahal bner apk anehh,0
alhamdulillah bantu mudah,1
salam urus surat pindah mudah cepat,1
baik banyak bugs aplikasi login ribetnya minta ampun,0
hp dipake buat login karna pernah buat login nik yg solusi,0
keren mudah masyarakat yg anti calo,1
koreksi aju proses centang selesai aju,1
layan salam kota bandung the best,1
baru daftar nik ktp sma kk sesuai gilir login gabisa hp daftar nik daftar masuk nik tetap gabisa masuk,0
bantu sedang luar kota tetap urus surat surat penting,1
batu tahu bagaimana cara urus surat surat yg perlukam,1
aneh nik sudh terdftr reset pasword gbisa,0
guna manfaat,1
bantu mudah cepat,1
engga baru pertama daftar terang nik daftar coba nik sama akun akun email cocok,0
klo beli hp ken lalu guna milik hp belum malah jd gk masuk daftar baruu gk sama sekaliii perangkat daftar belum,0
keren proses cepat mudah,1
mudah nyaman,1
mantap mudah masyarakat,1
data pakai orang gimana,0
cik atuh euy nyieun make duit rakyat nu baleg layan kudu gancang gawe pns na ulah salare wae,0
good job,1
nyusahan daftar login salam tetep daftar kan pake nik orang padahal kan pernah daftar kan pke nik orang email selalu salah padahal emil bener ribet nie bikin dokumen dowlod salam tetep susah masuk,0
bantu jd perlu repot datang lokasi buat antri ribet,1
bantu sekali cepat,1
layan online ribet cuma lama proses buat kia inline moga depan mudah cepat,1
bantu sekali,1
hallo kapan aju buat kia beberapa bulan nunggu eror datang tempat sama kata apk eror sana eror gimana kapan baik,1
bantu mudah paham,1
